ANO_ELEICAO;NR_TURNO;DS_ELEICAO;DT_ELEICAO;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;QT_VOTOS_NOMINAIS_VALIDOS
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;175;OURO PRETO DO OESTE;13;6;Deputado Federal;Partido isolado;15;MDB;Movimento Democrático Brasileiro;PARTIDO ISOLADO;MDB;3820
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;701;PARECIS;19;7;Deputado Estadual;Partido isolado;44;UNIÃO;UNIÃO BRASIL;PARTIDO ISOLADO;UNIÃO;598
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;515;NOVO HORIZONTE DO OESTE;15;7;Deputado Estadual;Partido isolado;70;AVANTE;AVANTE;PARTIDO ISOLADO;AVANTE;13
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;191;PRESIDENTE MÉDICI;3;7;Deputado Estadual;Partido isolado;70;AVANTE;AVANTE;PARTIDO ISOLADO;AVANTE;102
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;639;ALTO PARAÍSO;25;7;Deputado Estadual;Partido isolado;70;AVANTE;AVANTE;PARTIDO ISOLADO;AVANTE;63
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;370;NOVA BRASILÂNDIA D OESTE;15;7;Deputado Estadual;Partido isolado;70;AVANTE;AVANTE;PARTIDO ISOLADO;AVANTE;14
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;19;GUAJARÁ-MIRIM;1;6;Deputado Federal;Federação;65;PC do B;Partido Comunista do Brasil;FEDERAÇÃO;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);5
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;710;SÃO FELIPE D OESTE;19;6;Deputado Federal;Partido isolado;10;REPUBLICANOS;REPUBLICANOS;PARTIDO ISOLADO;REPUBLICANOS;137
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;647;RIO CRESPO;26;6;Deputado Federal;Partido isolado;10;REPUBLICANOS;REPUBLICANOS;PARTIDO ISOLADO;REPUBLICANOS;93
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;698;VALE DO ANARI;32;7;Deputado Estadual;Partido isolado;33;PMN;Partido da Mobilização Nacional;PARTIDO ISOLADO;PMN;26
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;191;PRESIDENTE MÉDICI;3;7;Deputado Estadual;Partido isolado;33;PMN;Partido da Mobilização Nacional;PARTIDO ISOLADO;PMN;119
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;612;GOVERNADOR JORGE TEIXEIRA;27;6;Deputado Federal;Partido isolado;35;PMB;Partido da Mulher Brasileira;PARTIDO ISOLADO;PMB;0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;310;ALTA FLORESTA D OESTE;17;6;Deputado Federal;Federação;43;PV;Partido Verde;FEDERAÇÃO;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;337;ALVORADA DO OESTE;18;6;Deputado Federal;Federação;43;PV;Partido Verde;FEDERAÇÃO;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;590;THEOBROMA;27;6;Deputado Federal;Federação;43;PV;Partido Verde;FEDERAÇÃO;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;256;ESPIGÃO DO OESTE;12;6;Deputado Federal;Partido isolado;90;PROS;Partido Republicano da Ordem Social;PARTIDO ISOLADO;PROS;3
