UF;Município;Cargo;Turno;Eleitorado apto;Eleitorado seções instaladas;Comparecimento;pc_comparecimento;Abstenções;pc_abstencoes;Quantitativo de votos;Votos a concorrentes;pc_votos_concorrentes;Votos válidos;pc_votos_validos;Votos nominais válidos;pc_votos_nominais;Votos nulos;pc_votos_nulos;Nulos técnicos;pc_votos_nulo_tecnico;Total votos nulos;pc_total_votos_nulos;Votos em branco;pc_votos_brancos;Votos legenda válidos;pc_votos_legenda;Total votos legenda válidos;Total votos anulados;pc_votos_anulados;Total de seções;Seções principais;pc_secoes_principais;Seções agregadas;pc_secoes_agregadas;Seções instaladas;pc_secoes_instalada
RO;SÃO FRANCISCO DO GUAPORÉ;Presidente;1;12556;12556;9382;0,7472;3174;0,2528;9382;9209;0,9816;9209;1;9209;1;89;1;0;0;89;0,0095;84;0,009;0;0;0;0;0;45;45;1;0;0;45;1
RO;SÃO FRANCISCO DO GUAPORÉ;Presidente;2;12557;12557;9322;0,7424;3235;0,2576;9322;9104;0,9766;9104;1;9104;1;141;1;0;0;141;0,0151;77;0,0083;0;0;0;0;0;45;45;1;0;0;45;1
RO;SÃO FRANCISCO DO GUAPORÉ;Senador;1;12554;12554;9380;0,7472;3174;0,2528;9380;8612;0,9181;7606;0,8832;7606;1;412;1;0;0;412;0,0439;356;0,038;0;0;0;1006;0,1168;45;45;1;0;0;45;1
RO;SÃO MIGUEL DO GUAPORÉ;Deputado Estadual;1;17388;17388;12928;0,7435;4460;0,2565;12928;12403;0,9594;12379;0,9981;11790;0,9524;160;1;0;0;160;0,0124;365;0,0282;589;0,0476;589;24;0,0019;57;57;1;0;0;57;1
RO;SÃO MIGUEL DO GUAPORÉ;Deputado Federal;1;17388;17388;12928;0,7435;4460;0,2565;12928;12227;0,9458;12227;1;11700;0,9569;247;0,992;2;0,008;249;0,0193;452;0,035;527;0,0431;527;0;0;57;57;1;0;0;57;1
RO;SÃO MIGUEL DO GUAPORÉ;Governador;1;17388;17388;12928;0,7435;4460;0,2565;12928;11923;0,9223;11923;1;11923;1;593;1;0;0;593;0,0459;412;0,0319;0;0;0;0;0;57;57;1;0;0;57;1
RO;SÃO MIGUEL DO GUAPORÉ;Governador;2;17394;17394;12971;0,7457;4423;0,2543;12971;12362;0,953;12362;1;12362;1;358;1;0;0;358;0,0276;251;0,0194;0;0;0;0;0;57;57;1;0;0;57;1
RO;SÃO MIGUEL DO GUAPORÉ;Presidente;1;17389;17389;12929;0,7435;4460;0,2565;12929;12610;0,9753;12610;1;12610;1;181;1;0;0;181;0,014;138;0,0107;0;0;0;0;0;57;57;1;0;0;57;1
RO;SÃO MIGUEL DO GUAPORÉ;Presidente;2;17395;17395;12971;0,7457;4424;0,2543;12971;12562;0,9685;12562;1;12562;1;280;1;0;0;280;0,0216;129;0,0099;0;0;0;0;0;57;57;1;0;0;57;1
RO;SÃO MIGUEL DO GUAPORÉ;Senador;1;17388;17388;12928;0,7435;4460;0,2565;12928;11686;0,9039;10778;0,9223;10778;1;655;1;0;0;655;0,0507;587;0,0454;0;0;0;908;0,0777;57;57;1;0;0;57;1
RO;TEIXEIRÓPOLIS;Deputado Estadual;1;4088;4088;3046;0,7451;1042;0,2549;3046;2911;0,9557;2881;0,9897;2716;0,9427;38;1;0;0;38;0,0125;97;0,0318;165;0,0573;165;30;0,0103;16;16;1;0;0;16;1
RO;TEIXEIRÓPOLIS;Deputado Federal;1;4088;4088;3046;0,7451;1042;0,2549;3046;2939;0,9649;2939;1;2852;0,9704;33;1;0;0;33;0,0108;74;0,0243;87;0,0296;87;0;0;16;16;1;0;0;16;1
RO;TEIXEIRÓPOLIS;Governador;1;4088;4088;3046;0,7451;1042;0,2549;3046;2842;0,933;2842;1;2842;1;135;1;0;0;135;0,0443;69;0,0227;0;0;0;0;0;16;16;1;0;0;16;1
