Estado civil;Eleitorado;Com deficiência;Voto obrigatório;Voto facultativo
CASADO;440387;4770;371472;68915
DIVORCIADO;70035;1239;58888;11147
NÃO INFORMADO;3;0;1;2
SEPARADO JUDICIALMENTE;6883;135;4780;2103
SOLTEIRO;718275;11794;666039;52236
VIÚVO;31522;891;12753;18769
