Grau de instrução;Eleitorado;Com deficiência;Voto obrigatório;Voto facultativo
ANALFABETO;47724;4093;0;47724
ENSINO FUNDAMENTAL COMPLETO;66980;827;61425;5555
ENSINO FUNDAMENTAL INCOMPLETO;307447;4999;276486;30961
ENSINO MÉDIO COMPLETO;317670;2931;308684;8986
ENSINO MÉDIO INCOMPLETO;232279;2597;208745;23534
LÊ E ESCREVE;89628;2018;59843;29785
SUPERIOR COMPLETO;125362;850;119645;5717
SUPERIOR INCOMPLETO;80015;514;79105;910
